time, nthreads, ndatablocks, itermax, size
0.722838, 1, 10, 1000, 1048576
0.723698, 1, 10, 1000, 1048576
0.723854, 1, 10, 1000, 1048576
0.722019, 1, 10, 1000, 1048576
0.719146, 1, 10, 1000, 1048576
0.379452, 2, 10, 1000, 1048576
0.375941, 2, 10, 1000, 1048576
0.377785, 2, 10, 1000, 1048576
0.381692, 2, 10, 1000, 1048576
0.376932, 2, 10, 1000, 1048576
0.27537, 3, 10, 1000, 1048576
0.274531, 3, 10, 1000, 1048576
0.273299, 3, 10, 1000, 1048576
0.275882, 3, 10, 1000, 1048576
0.272431, 3, 10, 1000, 1048576
0.211105, 4, 10, 1000, 1048576
0.209996, 4, 10, 1000, 1048576
0.209343, 4, 10, 1000, 1048576
0.208925, 4, 10, 1000, 1048576
0.208955, 4, 10, 1000, 1048576
time, nthreads, ndatablocks, itermax, size
0.766715, 1, 10, 1000, 1048576
0.771362, 1, 10, 1000, 1048576
0.767469, 1, 10, 1000, 1048576
0.768947, 1, 10, 1000, 1048576
0.768379, 1, 10, 1000, 1048576
0.425919, 2, 10, 1000, 1048576
0.426469, 2, 10, 1000, 1048576
0.427371, 2, 10, 1000, 1048576
0.4285, 2, 10, 1000, 1048576
0.425011, 2, 10, 1000, 1048576
0.324452, 3, 10, 1000, 1048576
0.324013, 3, 10, 1000, 1048576
0.31986, 3, 10, 1000, 1048576
0.321813, 3, 10, 1000, 1048576
0.323186, 3, 10, 1000, 1048576
0.25803, 4, 10, 1000, 1048576
0.259488, 4, 10, 1000, 1048576
0.260042, 4, 10, 1000, 1048576
0.258092, 4, 10, 1000, 1048576
0.25862, 4, 10, 1000, 1048576
time, nthreads, ndatablocks, itermax, size
0.772654, 1, 10, 1000, 1048576
0.769425, 1, 10, 1000, 1048576
0.772546, 1, 10, 1000, 1048576
0.769671, 1, 10, 1000, 1048576
0.787848, 1, 10, 1000, 1048576
0.427561, 2, 10, 1000, 1048576
0.426136, 2, 10, 1000, 1048576
0.429721, 2, 10, 1000, 1048576
0.429108, 2, 10, 1000, 1048576
0.429596, 2, 10, 1000, 1048576
0.326492, 3, 10, 1000, 1048576
0.330783, 3, 10, 1000, 1048576
0.374471, 3, 10, 1000, 1048576
0.354521, 3, 10, 1000, 1048576
0.345627, 3, 10, 1000, 1048576
0.264652, 4, 10, 1000, 1048576
0.264752, 4, 10, 1000, 1048576
0.296799, 4, 10, 1000, 1048576
0.277558, 4, 10, 1000, 1048576
0.283414, 4, 10, 1000, 1048576
time, nthreads, ndatablocks, itermax, size
1.33025, 1, 10, 1000, 1048576
1.34418, 1, 10, 1000, 1048576
1.337, 1, 10, 1000, 1048576
1.33389, 1, 10, 1000, 1048576
1.33136, 1, 10, 1000, 1048576
